105.00	105.00
104.36	104.36
102.47	102.47
99.44	99.44
95.44	95.44
90.70	90.70
85.50	85.50
80.12	80.12
74.88	74.88
70.07	70.07
65.98	65.98
62.83	62.83
60.80	60.80
60.01	60.01
60.50	60.50
62.26	62.26
65.16	65.16
69.06	69.06
73.73	73.73
78.89	78.89
84.27	84.27
89.54	89.54
94.41	94.41
98.60	98.60
101.87	101.87
104.03	104.03
104.97	104.97
104.62	104.62
103.01	103.01
100.22	100.22
96.43	96.43
91.84	91.84
86.72	86.72
81.35	81.35
76.05	76.05
71.12	71.12
66.84	66.84
63.46	63.46
61.16	61.16
60.08	60.08
60.28	60.28
61.75	61.75
64.40	64.40
68.09	68.09
72.60	72.60
77.68	77.68
83.03	83.03
88.35	88.35
93.34	93.34
97.71	97.71
101.21	101.21
103.64	103.64
104.86	104.86
104.81	104.81
103.48	103.48
100.96	100.96
97.38	97.38
92.95	92.95
87.92	87.92
82.59	82.59
77.25	77.25
72.21	72.21
67.75	67.75
64.14	64.14
61.58	61.58
60.21	60.21
60.12	60.12
61.30	61.30
63.69	63.69
67.16	67.16
71.51	71.51
76.48	76.48
81.79	81.79
87.15	87.15
92.24	92.24
96.77	96.77
100.49	100.49
103.18	103.18
104.69	104.69
105.00	105.00
