105.00	105.00
103.72	103.72
99.93	99.93
93.87	93.87
85.88	85.88
76.40	76.40
65.99	65.99
55.24	55.24
44.76	44.76
35.15	35.15
26.96	26.96
20.65	20.65
16.59	16.59
15.02	15.02
16.01	16.01
19.51	19.51
25.33	25.33
33.12	33.12
42.45	42.45
52.79	52.79
63.53	63.53
74.07	74.07
83.81	83.81
92.19	92.19
98.73	98.73
103.06	103.06
104.93	104.93
104.24	104.24
101.01	101.01
95.45	95.45
87.86	87.86
78.68	78.68
68.43	68.43
57.70	57.70
47.11	47.11
37.25	37.25
28.68	28.68
21.91	21.91
17.31	17.31
15.15	15.15
15.55	15.55
18.49	18.49
23.80	23.80
31.18	31.18
40.20	40.20
50.36	50.36
61.06	61.06
71.70	71.70
81.68	81.68
90.42	90.42
97.42	97.42
102.28	102.28
104.73	104.73
104.62	104.62
101.97	101.97
96.92	96.92
89.76	89.76
80.90	80.90
70.85	70.85
60.18	60.18
49.49	49.49
39.41	39.41
30.51	30.51
23.29	23.29
18.16	18.16
15.42	15.42
15.23	15.23
17.60	17.60
22.39	22.39
29.32	29.32
38.01	38.01
47.96	47.96
58.59	58.59
69.30	69.30
79.48	79.48
88.55	88.55
95.99	95.99
101.37	101.37
104.39	104.39
105.00	105.00
